,LONG DESCRIPTION,DIAGNOSIS CODE,processed_description,Cluster
1806,"Mechanical complication of unspecified genitourinary device, implant, and graft",99630,mechanical complication of unspecified genitourinary device implant and graft,8
1807,"Leukorrhea, not specified as infective",6235,leukorrhea not specified as infective,3
1808,"Ptosis of eyelid, unspecified",37430,ptosis of eyelid unspecified,7
1809,Other hyperalimentation,2788,other hyperalimentation,1
1810,Acute laryngitis without mention of obstruction,46400,acute laryngitis without mention of obstruction,4
1811,Infectious diarrhea,0092,infectious diarrhea,1
1812,Huntington's chorea,3334,huntingtons chorea,1
1813,"Malignant neoplasm of liver, not specified as primary or secondary",1552,malignant neoplasm of liver not specified as primary or secondary,2
1814,"Acute duodenal ulcer with perforation, with obstruction",53211,acute duodenal ulcer with perforation with obstruction,4
1815,Abscess of liver,5720,abscess of liver,1
1816,"Hyperplasia of prostate, unspecified, without urinary obstruction and other lower urinary symptoms (LUTS)",60090,hyperplasia of prostate unspecified without urinary obstruction and other lower urinary symptoms luts,9
1817,"Foreign body in digestive system, unspecified",938,foreign body in digestive system unspecified,7
1818,Contusion of unspecified part of lower limb,9245,contusion of unspecified part of lower limb,9
1819,"Open fracture of mandible, body, other and unspecified",80238,open fracture of mandible body other and unspecified,10
1820,Other and unspecified reactive psychosis,2988,other and unspecified reactive psychosis,7
1821,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",85202,subarachnoid hemorrhage following injury without mention of open intracranial wound with brief less than one hour loss of consciousness,0
1822,"Neoplasm of unspecified nature, site unspecified",2399,neoplasm of unspecified nature site unspecified,7
1823,Herpes zoster with other nervous system complications,05319,herpes zoster with other nervous system complications,8
1824,"Toxic nodular goiter, unspecified type, without mention of thyrotoxic crisis or storm",24230,toxic nodular goiter unspecified type without mention of thyrotoxic crisis or storm,1
1825,Open fracture of unspecified part of lower end of humerus,81250,open fracture of unspecified part of lower end of humerus,10
1826,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",80125,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage with prolonged more than 24 hours loss of consciousness without return to preexisting conscious level,0
1827,Other adjustment reactions with predominant disturbance of other emotions,30929,other adjustment reactions with predominant disturbance of other emotions,1
1828,Closed fracture of two ribs,80702,closed fracture of two ribs,10
1829,Malignant neoplasm of lower-outer quadrant of female breast,1745,malignant neoplasm of lowerouter quadrant of female breast,2
1830,Irradiation cystitis,59582,irradiation cystitis,1
1831,Foreign body in bladder and urethra,9390,foreign body in bladder and urethra,1
1832,"Previous cesarean delivery, delivered, with or without mention of antepartum condition",65421,previous cesarean delivery delivered with or without mention of antepartum condition,1
1833,Meningitis due to unspecified bacterium,3209,meningitis due to unspecified bacterium,7
1834,Critical illness polyneuropathy,35782,critical illness polyneuropathy,1
1835,Phlebitis and thrombophlebitis of femoral vein (deep) (superficial),45111,phlebitis and thrombophlebitis of femoral vein deep superficial,1
1836,"Opioid type dependence, episodic",30402,opioid type dependence episodic,6
1837,Angiodysplasia of intestine (without mention of hemorrhage),56984,angiodysplasia of intestine without mention of hemorrhage,1
1838,Hypovolemia,27652,hypovolemia,1
1839,"Gastrostomy complication, unspecified",53640,gastrostomy complication unspecified,7
1840,Aftercare for healing traumatic fracture of upper arm,V5411,aftercare for healing traumatic fracture of upper arm,10
1841,Malignant neoplasm of other and unspecified sites of male breast,1759,malignant neoplasm of other and unspecified sites of male breast,2
1842,Heart replaced by transplant,V421,heart replaced by transplant,1
1843,"Malignant neoplasm of lower lip, vermilion border",1401,malignant neoplasm of lower lip vermilion border,2
1844,Nonspecific abnormal results of function study of kidney,7944,nonspecific abnormal results of function study of kidney,1
1845,Other symptoms involving digestive system,78799,other symptoms involving digestive system,1
1846,"Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection",9190,abrasion or friction burn of other multiple and unspecified sites without mention of infection,7
1847,Unspecified senile psychotic condition,2909,unspecified senile psychotic condition,7
1848,Other specified disorders of esophagus,53089,other specified disorders of esophagus,3
1849,"Diabetes with unspecified complication, type I [juvenile type], uncontrolled",25093,diabetes with unspecified complication type i juvenile type uncontrolled,6
1850,Priapism,6073,priapism,1
1851,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy",34540,localizationrelated focal partial epilepsy and epileptic syndromes with complex partial seizures without mention of intractable epilepsy,1
1852,Traumatic compartment syndrome of lower extremity,95892,traumatic compartment syndrome of lower extremity,9
1853,Unspecified visual disturbance,3689,unspecified visual disturbance,7
1854,"Unspecified derangement of joint, pelvic region and thigh",71895,unspecified derangement of joint pelvic region and thigh,7
1855,Vascular disorders of male genital organs,60883,vascular disorders of male genital organs,1
1856,Mechanical complication due to breast prosthesis,99654,mechanical complication due to breast prosthesis,1
1857,Stridor,7861,stridor,1
1858,Observation following other accident,V714,observation following other accident,1
1859,"Calculus of bile duct with other cholecystitis, with obstruction",57441,calculus of bile duct with other cholecystitis with obstruction,4
1860,"Malignant neoplasm of peritoneum, unspecified",1589,malignant neoplasm of peritoneum unspecified,2
1861,Malignant neoplasm of anterior wall of urinary bladder,1883,malignant neoplasm of anterior wall of urinary bladder,2
1862,"Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",85224,subdural hemorrhage following injury without mention of open intracranial wound with prolonged more than 24 hours loss of consciousness and return to preexisting conscious level,0
1863,Poisoning by methadone,96502,poisoning by methadone,1
1864,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",80121,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage with no loss of consciousness,0
1865,"Contact dermatitis and other eczema, unspecified cause",6929,contact dermatitis and other eczema unspecified cause,7
1866,Chronic prostatitis,6011,chronic prostatitis,3
1867,"Malignant neoplasm of lesser curvature of stomach, unspecified",1515,malignant neoplasm of lesser curvature of stomach unspecified,2
1868,"Combinations of drug dependence excluding opioid type drug, continuous",30481,combinations of drug dependence excluding opioid type drug continuous,6
1869,Malignant carcinoid tumor of the bronchus and lung,20921,malignant carcinoid tumor of the bronchus and lung,1
1870,"Septicemia due to gram-negative organism, unspecified",03840,septicemia due to gramnegative organism unspecified,7
1871,"Femoral hernia with obstruction, unilateral or unspecified (not specified as recurrent)",55200,femoral hernia with obstruction unilateral or unspecified not specified as recurrent,4
1872,"Chronic or unspecified gastrojejunal ulcer with hemorrhage, without mention of obstruction",53440,chronic or unspecified gastrojejunal ulcer with hemorrhage without mention of obstruction,4
1873,Malignant neoplasm of mandible,1701,malignant neoplasm of mandible,2
1874,Other lymphatic and hematopoietic tissues,23879,other lymphatic and hematopoietic tissues,1
1875,Chronic diastolic heart failure,42832,chronic diastolic heart failure,3
1876,Full-thickness skin loss [third degree nos] of lower leg,94534,fullthickness skin loss third degree nos of lower leg,9
1877,"Abdominal tenderness, unspecified site",78960,abdominal tenderness unspecified site,7
1878,Poisoning by parasympathomimetics (cholinergics),9710,poisoning by parasympathomimetics cholinergics,1
1879,Malignant neoplasm of main bronchus,1622,malignant neoplasm of main bronchus,2
1880,"Chronic osteomyelitis, lower leg",73016,chronic osteomyelitis lower leg,9
1881,"Previous cesarean delivery, antepartum condition or complication",65423,previous cesarean delivery antepartum condition or complication,1
1882,"Enthesopathy of knee, unspecified",72660,enthesopathy of knee unspecified,7
1883,"Blisters, epidermal loss [second degree] of ankle",94523,blisters epidermal loss second degree of ankle,1
1884,Occlusion and stenosis of other specified precerebral artery with cerebral infarction,43381,occlusion and stenosis of other specified precerebral artery with cerebral infarction,1
1885,Neurogenic bladder NOS,59654,neurogenic bladder nos,1
1886,"Unspecified derangement of joint, ankle and foot",71897,unspecified derangement of joint ankle and foot,7
1887,Malignant neoplasm of upper-inner quadrant of female breast,1742,malignant neoplasm of upperinner quadrant of female breast,2
1888,"Multiple myeloma, in relapse",20302,multiple myeloma in relapse,1
1889,Gastroenteritis and colitis due to radiation,5581,gastroenteritis and colitis due to radiation,1
1890,"Inguinal hernia, without mention of obstruction or gangrene, unilateral or unspecified, recurrent",55091,inguinal hernia without mention of obstruction or gangrene unilateral or unspecified recurrent,4
1891,"Migraine without aura, with intractable migraine, so stated, without mention of status migrainosus",34611,migraine without aura with intractable migraine so stated without mention of status migrainosus,1
1892,"Malignant neoplasm of intestinal tract, part unspecified",1590,malignant neoplasm of intestinal tract part unspecified,2
1893,"Other late effects of cerebrovascular disease, ataxia",43884,other late effects of cerebrovascular disease ataxia,3
1894,"Other malignant lymphomas, intrathoracic lymph nodes",20282,other malignant lymphomas intrathoracic lymph nodes,1
1895,"True posterior wall infarction, initial episode of care",41061,true posterior wall infarction initial episode of care,5
1896,Other specified erythematous conditions,69589,other specified erythematous conditions,3
1897,"Manic affective disorder, recurrent episode, unspecified",29610,manic affective disorder recurrent episode unspecified,7
